City_ID,City Name,Cloudiness,Country,Datetime,Humidity,Lat,Lng,Max Temp,Wind Speed
95,Homer,1,US,-32400,70,59.6425,-151.5483,9.03,5.75
96,Hong Kong,20,HK,28800,78,22.2855,114.1577,75.38,1.99
97,Sinnamary,42,GF,-10800,78,5.3833,-52.95,82.54,6.82
98,Burns Lake,87,CA,-28800,98,54.2331,-125.7533,4.42,4.18
99,Grand Gaube,9,MU,14400,66,-20.0064,57.6608,77.38,3
100,Manokwari,63,ID,32400,77,-0.8667,134.0833,79.12,2.35
101,Darjeeling,15,IN,19800,90,27.0333,88.2667,45.25,3.47
102,Jasper,40,US,-21600,37,37.2001,-94.3502,47.35,8.01
103,Khatanga,71,RU,25200,85,71.9667,102.5,-15.14,7.47
104,Cortez,1,US,-25200,38,37.3489,-108.5859,49.69,5.75
105,Tasiilaq,98,GL,-10800,71,65.6145,-37.6368,24.96,5.73
106,Mayo,1,US,-18000,45,38.8876,-76.5119,48.25,15.01
107,San Jose,75,US,-28800,89,37.3394,-121.895,57.85,9.22
108,Coquimbo,75,CL,-10800,77,-29.9533,-71.3436,60.53,10.36
109,Hamilton,1,US,-18000,56,39.1834,-84.5333,40.59,3
110,Mehamn,75,NO,3600,100,71.0357,27.8492,35.51,5.75
111,Port Elizabeth,20,ZA,7200,72,-33.918,25.5701,66.49,13.8
